Borough,Neighborhood,Lat,Lng,ID,Name,Likes,Rating,Tips
Queens,Jackson Heights,40.75043056608339,-73.8779512662232,51d95544498e5972aaca5510,La Abundancia,6,6.5,1
Queens,Corona,40.74611728794566,-73.85974892929815,4be47caed4f7c9b687382420,Mama's Backyard,12,6.8,1
Queens,Corona,40.742987,-73.857689,4d86469cf1e56ea81a9a9a8a,Lisa Bakery Inc.,0,0,0
Queens,Forest Hills,40.72167589328224,-73.84436855633295,4b48d147f964a5206f5826e3,Fay Da Bakery,81,8.4,37
Queens,Flushing,40.76157406207356,-73.83105760283283,4ad1023ff964a520eadb20e3,Maxin Bakery,15,7.5,13
Queens,Flushing,40.760663018474624,-73.82926844349444,4bb92b2598c7ef3b95e03102,Paris Baguette,140,8.1,76
Queens,Flushing,40.76098521358553,-73.83076551893204,4a19b74af964a5203d7a1fe3,Tai Pan Bakery 大班,43,7.1,25
Queens,Long Island City,40.7501,-73.940677,5c421048dbde11002535721b,Chip,4,7.5,4
Queens,Sunnyside,40.73968122217404,-73.92476940874033,4b7ff78ff964a5207c4730e3,Nita's European Bakery,31,8.3,18
Queens,Sunnyside,40.743815639239465,-73.92460411393647,4be89308947820a13f16b5db,La Vienesa Bakery,3,7.5,7
Queens,East Elmhurst,40.76834969594986,-73.86775239732003,4ce6b226948f224b8677e55d,Big Bread Bakery,0,0,0
Queens,Maspeth,40.726481395697554,-73.89468009608129,4bf5280594af2d7f0f563b72,Glendale Bake Shop,7,7.4,5
Queens,Ridgewood,40.708992551382075,-73.90638495281291,4c4c8221f7cc1b8da3d46c41,Grimaldi Bakery,37,8.1,13
Queens,Rego Park,40.73145604737717,-73.85988564755635,4e6bf3d91495f3492556f1c8,Rego Park Pastry,9,8.4,3
Queens,Rego Park,40.73013621565319,-73.86157994325103,58a223ad01f07763d106022f,Paris Baguette,14,7.9,2
Queens,Rego Park,40.732417272485726,-73.85687957310599,4d3237e35c2db60c10f1bf6c,Tandoori Food & Bakery,13,8.0,3
